year,icpsr state code,alphanumeric state code,state,vep total ballots counted,vep highest office,vap highest office,total ballots counted,highest office,voting-eligible population_vep,voting-age population_vap,percent_non-citizen,prison,probation,parole,total ineligible felon,overseas eligible
1980,0,0,United States,0.00%,54.20%,52.60%,,"86,515,221","159,635,102","164,445,475",3.50%,"324,410","618,471","168,331","801,977","1,803,021"
1980,41,1,Alabama,,49.20%,48.70%,,"1,341,929","2,726,249","2,753,078",0.40%,"6,543","10,985","2,547","14,583",
1980,81,2,Alaska,60.20%,58.70%,57.10%,"162,653","158,445","270,122","277,261",2.00%,822,"1,181",93,"1,506",
1980,61,3,Arizona,47.50%,46.20%,44.40%,"898,183","873,945","1,890,167","1,968,947",3.40%,"4,372","12,584","1,093","11,757",
1980,42,4,Arkansas,,52.00%,51.50%,,"837,582","1,610,104","1,624,917",0.50%,"2,911","2,400","2,855","6,966",
1980,71,5,California,56.20%,55.00%,48.90%,"8,775,459","8,587,063","15,610,966","17,551,451",10.80%,"24,569",0,"15,253","39,822",
1980,62,6,Colorado,59.10%,57.20%,55.90%,"1,225,549","1,184,415","2,071,959","2,118,092",2.00%,"2,629",0,927,"3,556",
1980,1,7,Connecticut,64.70%,63.90%,61.00%,"1,423,403","1,406,285","2,201,356","2,305,904",3.80%,"4,308","22,981","1,932","17,731",
1980,11,8,Delaware,56.80%,56.00%,54.70%,"239,136","235,900","421,344","430,879",1.30%,"1,474","3,762",619,"3,974",
1980,55,9,District of Columbia,37.90%,37.20%,35.30%,"178,434","175,237","470,956","496,230",4.50%,"3,145",0,0,"3,145",
1980,43,10,Florida,,52.00%,48.70%,,"3,686,930","7,088,658","7,575,002",5.80%,"20,735","38,906","8,823","49,011",
1980,44,11,Georgia,,42.10%,41.30%,,"1,596,695","3,791,652","3,870,251",0.90%,"12,178","58,450","3,169","44,572",
1980,82,12,Hawaii,49.20%,46.90%,43.60%,"318,026","303,287","646,583","695,906",6.90%,985,0,0,985,
1980,63,13,Idaho,70.40%,69.00%,67.90%,"446,045","437,431","633,624","644,004",1.50%,817,0,0,817,
1980,21,14,Illinois,61.90%,60.40%,57.80%,"4,868,890","4,749,721","7,868,300","8,216,218",4.10%,"11,899",0,0,"11,899",
1980,22,15,Indiana,59.20%,58.30%,57.70%,"2,275,433","2,242,033","3,846,321","3,885,473",0.80%,"6,683",0,0,"6,683",
